brand_name,season,title,cover_image,show_url,year,category
Acne Studios,Fall 2024 Menswear,Acne Studios,https://assets.vogue.com/photos/65a536e4b3abc4501fb12d90/16:9/pass/00001-acne-studios-fall-2024-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/acne-studios,2024,Menswear
Acne Studios,Fall 2024 Ready To Wear,Acne Studios,https://assets.vogue.com/photos/65e0497b2bed6b971b9995e1/16:9/pass/00001-acne-studios-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/acne-studios,2024,Ready-to-Wear
Alexander McQueen,Fall 2024 Ready To Wear,McQueen,https://assets.vogue.com/photos/65e3af348fce6647e6d3a3f7/16:9/pass/00001-alexander-mcqueen-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/alexander-mcqueen,2024,Ready-to-Wear
Alexander McQueen,Fall 2025 Ready To Wear,McQueen,https://assets.vogue.com/photos/67ccb0a380e8bc60a5045103/16:9/pass/00001-alexander-mcqueen-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/alexander-mcqueen,2025,Ready-to-Wear
Alexander Wang,Fall 2024 Ready To Wear,Alexander Wang,https://assets.vogue.com/photos/66b4904a5552fa386f05b66e/16:9/pass/00001-alexander-wang-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/alexander-wang,2024,Ready-to-Wear
Alexander Wang,Fall 2025 Ready To Wear,Alexander Wang,https://assets.vogue.com/photos/68a344a77931d05bbdae06eb/16:9/pass/00001-alexander-wang-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/alexander-wang,2025,Ready-to-Wear
Alberta Ferretti,Fall 2024 Ready To Wear,Alberta Ferretti,https://assets.vogue.com/photos/65d64650d01a79ff2a6f867c/16:9/pass/00001-alberta-ferretti-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/alberta-ferretti,2024,Ready-to-Wear
Alberta Ferretti,Fall 2025 Ready To Wear,Alberta Ferretti,https://assets.vogue.com/photos/67be2a8ac9fe254958d40114/16:9/pass/00001-alberta-ferretti-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/alberta-ferretti,2025,Ready-to-Wear
Altuzarra,Fall 2024 Ready To Wear,Altuzarra,https://assets.vogue.com/photos/65c9750a02ab56c91ad59bf4/16:9/pass/00001-altuzarra-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/altuzarra,2024,Ready-to-Wear
Altuzarra,Fall 2025 Ready To Wear,Altuzarra,https://assets.vogue.com/photos/67aa2f90ca46022409a22da1/16:9/pass/00001-altuzarra-fall-2025-ready-to-wear-credit-su-mustecaplioglu-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/altuzarra,2025,Ready-to-Wear
Amiri,Fall 2024 Menswear,Amiri,https://assets.vogue.com/photos/65a9679d9e29241eb401337a/16:9/pass/00001-amiri-fall-2024-mens-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/amiri,2024,Menswear
Amiri,Fall 2025 Menswear,Amiri,https://assets.vogue.com/photos/6792bc111ed3f2ac9da18a00/16:9/pass/00001-amiri-fall-2025-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/amiri,2025,Menswear
Ann Demeulemeester,Fall 2024 Ready To Wear,Ann Demeulemeester,https://assets.vogue.com/photos/65e390b55ebdfbc9590e03a5/16:9/pass/00001-ann-demeulemeester-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/ann-demeulemeester,2024,Ready-to-Wear
